"活动保障识别层级","识别依据","原主需求类别","原兼具需求类别","软硬件属性","省份","省内城市区域","项目名称","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","日常巡防需求","服务/租赁/咨询","湖北","武汉","武汉东湖新技术开发区分局光谷马拉松无人机反制租赁服务项目","武汉东湖新技术开发区分局","公开信息未披露","","武汉优一硕智能应用科技有限公司","2025-10-20","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：光谷马拉松无人机反制租赁服务，供应商武汉优一硕智能应用科技有限公司。"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","日常巡防需求","服务/租赁/咨询","湖南","长沙","长沙市公安局天心分局警保卫大队关于无人机反制服务的竞价竞价成交公告","公开信息未披露","公开信息未披露","","公开信息未披露","2026年01月28日","2026","B-公开转载/行业平台","待复核","https://www.chinamae.com/purchases/e6acdaa5c2b53548354b67324ab1c7e8.html","长沙市公安局天心分局警保卫大队关于 无人机反制 服务的竞价竞价 成交公告 2026年1月28日 - 序号 标的 名称 品牌 规格型号 数量 单价(元) 成交 金额(元) 报价明细 1 无人机 反制服务 - - 39天 1278.00 49842.00 需求响应: 无人机 反制服务.衡阳市南... www.chinamae.com 反馈"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","敏感目标防护需求；日常巡防需求","服务/租赁/咨询","陕西","延安","延安市公安局采购无人机反制枪及租赁无人机反制阵地项目","延安市公安局","202.0000 万元","202.0","西安宇航者创新科技有限公司","2023-03-17","2023","A-官方公告/公共资源","完整","https://www.ccgp-shaanxi.gov.cn/gpx-bid-file/610601/gpx-bidcore/2023/3/17/8a69c883865ceb1d0186eecd493c4bad.pdf?accessCode=e0771c16fa46abf11b4fd6cbb9a6e929","陕西政府采购PDF披露：采购无人机反制枪及租赁无人机反制阵地，中标供应商西安宇航者创新科技有限公司，中标总价2020000元。"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","敏感目标防护需求；日常巡防需求","服务/租赁/咨询","上海","长宁","2024年度至2025年度长宁公安分局无人机侦测反制设备租赁项目","上海市公安局长宁分局","99.0000 万元","99.0","上海新世纪科技有限公司","2024-11-11","2024","A-官方公告/公共资源","完整","https://www.ccgp.gov.cn/cggg/dfgg/cjgg/202411/t20241111_23584081.htm","中国政府采购网成交公告披露：项目编号CTCG0110-2024-4873，总成交金额99万元；服务名称为2024年度至2025年度长宁公安分局无人机侦测反制设备租赁项目，服务期限合同签订后一年。"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","敏感目标防护需求；日常巡防需求","服务/租赁/咨询","上海","青浦","上海市公安局青浦分局无人机反制阵地系统租赁服务","上海市公安局青浦分局","公开信息未披露","","公开信息未披露","2024-05-10","2024","B-公开转载/行业平台","较完整","https://www.ode119.com/zhaobiao/89312.html","公开转载中标公告披露：上海市公安局青浦分局无人机反制阵地系统租赁服务的中标（成交）结果公告。"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","敏感目标防护需求；日常巡防需求","服务/租赁/咨询","四川","成都","成都世运会无人机无线电反制设备管控服务项目","成都市无线电监测站","114.9000 万元","114.9","天维讯达（四川）科技有限公司","2025-07-10","2025","A-官方公告/公共资源","完整","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250710/8a69cb7697ee71240197f26715345e73.html","四川公共资源交易/四川政府采购中标公告披露：项目编号N5101012025000978，中标金额1,149,000.00元；采购标的为无人机无线电反制设备管控服务，服务范围为完成成都世运会相关工作。"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","无明显兼具类别","硬件设备/装备","浙江","温州","温州奥体中心安保专项-无人机反制设备采购项目","温州市龙湾区体育事业发展中心","98.0000 万元","98","中国联合网络通信有限公司温州市分公司","2023-08-21","2023","A-官方公告/公共资源","完整","https://ggzyjy-eweb.wenzhou.gov.cn/art/2023/8/21/art_1229678301_28546.html","温州市公共资源交易网：投标报价980000元，采购人为温州市龙湾区体育事业发展中心"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","无明显兼具类别","服务/租赁/咨询","浙江","杭州","浙江工商大学文体中心亚运手球馆无人机反制预警设备租赁服务","浙江工商大学","公开信息未披露","","公开信息未披露","2023-05-24","2023","A-官方公告/公共资源","较完整","https://cgzx.zjgsu.edu.cn/4738/list35.psp","浙江工商大学采购中心中标公告列表披露：浙江工商大学文体中心亚运手球馆无人机反制预警设备租赁服务成交结果公告，项目编号0625-23218448。"
"显性重大活动保障项目","项目文本直接出现重大活动/赛事/场馆/安保专项等关键词","重大活动保障需求","敏感目标防护需求","硬件设备/装备","浙江","柯桥","柯桥区 无人机反制设备 采购 中标 成交结果 公告","公开信息未披露","公开信息未披露","","公开信息未披露","2025年11月21日","2025","B-公开转载/行业平台","待复核","https://zj.bidcenter.com.cn/zbcontent-390623194-4.html","柯桥区 无人机反制设备 采购 中标 成交结果 公告 -浙江招标网 2025年11月21日 - 二、项目名称: (略) (略) (略) 无人机 反制设备采购.1.各参加政府采购活动的供应商认为该 中标 /成交结果和采购过程等使自己的权益受到损害的,可以自本 公 ... zj.bidcenter.com.cn 反馈"
"中概率活动保障能力项目","公安/特警机动装备可服务日常巡防，也可在会议赛事演出等临时任务中调用","日常巡防需求","无明显兼具类别","硬件设备/装备","安徽","黄山","黄山市公安局黄山分局H2LPro手持式无人机探测定位设备采购项目","黄山市公安局黄山分局","6.0000 万元","6.0","公开信息未披露","2026-02-02","2026","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：华诺星空H2LPro手持式无人机探测定位设备，成交金额60000元。"
"中概率活动保障能力项目","重点区域或平台能力可支撑重大活动临时禁飞区、白名单和联动处置","敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","北京","石景山","无人机领域综合科研专项-无人机学院实验室建设采购项目","公开信息未披露","公开信息未披露","","北京君锋泰业科技有限公司","2025-11-21","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：项目含低空防御管控平台、无人机管制干扰枪等，中标单位北京君锋泰业科技有限公司。"
"中概率活动保障能力项目","公安/特警机动装备可服务日常巡防，也可在会议赛事演出等临时任务中调用","敏感目标防护需求","日常巡防需求","软硬件综合/系统平台","广东","惠州","惠州市公安局大亚湾经济技术开发区分局大亚湾石化区天海地一体化综合防控系统建设项目（第二次）","惠州市公安局大亚湾经济技术开发区分局","公开信息未披露","","公开信息未披露","2025-12-15","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：标的含低空防御雷达显控软件、无人机防御察打一体机等。"
"中概率活动保障能力项目","公安/特警机动装备可服务日常巡防，也可在会议赛事演出等临时任务中调用","敏感目标防护需求","日常巡防需求","软硬件综合/系统平台","江苏","泰州","泰州市公安局巡特警支队无人机侦测反制设备采购项目","泰州市公安局（机关）","78.8000 万元","78.8","广州华警安防科技发展有限公司","2024-09-12","2024","A-官方公告/公共资源","完整","https://czj.taizhou.gov.cn/tzzfcgw/cgxx/sjcgxx/zbcjjggg/cjgg/art/2024/art_b69d7a2834914873a79ded08916bbd97.html","泰州市政府采购网成交公告披露：固定式无人机侦测反制设备，中标/成交金额788000元。"
"中概率活动保障能力项目","公安/特警机动装备可服务日常巡防，也可在会议赛事演出等临时任务中调用","日常巡防需求","无明显兼具类别","软硬件综合/系统平台","江苏","连云港","连云港市公安局车载式无人机反制系统购买中标公告","连云港市公安局","公开信息未披露","","公开信息未披露","2026年4月3日","2026","B-公开转载/行业平台","较完整","https://www.zhiliaobiaoxun.com/article/95096299","连云港市公安局车载式 无人机反制系统 购买 中标公告 2026年4月3日 - 项目名称: 连云港市公安局车载式 无人机反制系统 购买 中标公告 招标公司: 连云港市公安局 中标公司: 江苏丰东信息科技有限公司 采购标的物: 车载式 无人 ... www.zhiliaobiaoxun.com 反馈"
"中概率活动保障能力项目","重点区域或平台能力可支撑重大活动临时禁飞区、白名单和联动处置","敏感目标防护需求","无明显兼具类别","硬件设备/装备","山东","东营","东营机场无人机反制设备采购项目","东营机场","公开信息未披露","","公开信息未披露","2024年12月9日","2024","B-公开转载/行业平台","较完整","https://sd.bidizhaobiao.com/info-567616680.html","山东招标网转载成交公告显示：项目名称为东营机场无人机反制设备采购项目，项目编号SDYT2024-089#，公告日期2024年12月9日。"
"中概率活动保障能力项目","重点区域或平台能力可支撑重大活动临时禁飞区、白名单和联动处置","应急处置需求","敏感目标防护需求","软硬件综合/系统平台","四川","泸州","泸州军分区民兵反无人机排装备器材采购项目","泸州市应急管理局","134.4444 万元","134.4444","成都构玩居游乐设备有限公司","2025-07-29","2025","A-官方公告/公共资源","完整","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html","四川省公共资源交易信息网：中标金额1344444元，含频谱侦测、固定式反制、察打一体、便携式反制和智能管控平台"
"中概率活动保障能力项目","公安/特警机动装备可服务日常巡防，也可在会议赛事演出等临时任务中调用","日常巡防需求","无明显兼具类别","硬件设备/装备","未识别","未识别","特警大队无人机反制设备采购项目成交公告","公开信息未披露","公开信息未披露","","公开信息未披露","2024年04月08日","2024","B-公开转载/行业平台","待复核","https://www.qianlima.com/bid-412879753.html","特警大队 无人机反制 设备采购项目 成交公告 -千里马招标网 2024年4月8日 - 二、项目 名称 :特警大队 无人机 反制设备采购项目. 成交 金额:832000.00元 大写(捌拾叁万贰仟元整)... www.qianlima.com 反馈"
"中概率活动保障能力项目","重点区域或平台能力可支撑重大活动临时禁飞区、白名单和联动处置","园区运营需求","敏感目标防护需求；日常巡防需求","软硬件综合/系统平台","新疆","未识别","无人机反制系统及无人机机场式巡逻系统采购项目","兵团第二单位","公开信息未披露","","公开信息未披露","2025年10月30日","2025","B-公开转载/行业平台","较完整","https://www.chinabiddingzb.com/read-670286095.html","公开转载结果页摘要显示：无人机反制系统及无人机机场式巡逻系统采购项目，中标（成交）结果公告，发布时间2025年10月30日，采购主体摘要为兵团第二单位。"
"中概率活动保障能力项目","公安/特警机动装备可服务日常巡防，也可在会议赛事演出等临时任务中调用","日常巡防需求","无明显兼具类别","硬件设备/装备","新疆","克州","克州GAJ（特警支队）无人机反制侦测相关设备采购项目","克州GAJ（特警支队）","公开信息未披露","","新疆尚维飞创电子科技有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://xj.bidizhaobiao.com/info-599920271.html","新疆招标网转载合同摘要显示：克州GAJ（特警支队）无人机反制侦测相关设备采购项目合同，供应商为新疆尚维飞创电子科技有限公司。"
"中概率活动保障能力项目","公安/特警机动装备可服务日常巡防，也可在会议赛事演出等临时任务中调用","日常巡防需求","无明显兼具类别","软硬件综合/系统平台","浙江","温州","瑞安市公安局便携式无人机防御反制设备采购项目","瑞安市公安局","102.1000 万元","102.1","中国联合网络通信有限公司温州市分公司","2023-07-17","2023","B-公开转载/行业平台","完整","https://www.fdzb119.com/zhaobiao/70037.html","公开转载：投标总价1021000元，含手提式侦测定位、多用途反制、穿越机反制、便携式侦测反制和管控平台"
